metro_area,city_name,zip_code,population,Total_QSRs,customer_satisfaction,residents_per_qsr
PA,Philadelphia,19110,NA,0,NA,Inf
PA,Philadelphia,19111,70020,11,5.5,6365.454545454545
PA,Philadelphia,19112,NA,0,NA,Inf
PA,Philadelphia,19113,100,0,NA,Inf
PA,Philadelphia,19114,31478,17,15.176470588235293,1851.6470588235295
PA,Philadelphia,19115,33832,11,2.3181818181818183,3075.6363636363635
PA,Philadelphia,19116,34194,4,7.875,8548.5
PA,Philadelphia,19118,10800,2,4.5,5400
PA,Philadelphia,19119,29163,0,NA,Inf
PA,Philadelphia,19120,72376,5,-3.4,14475.2
PA,Philadelphia,19121,31546,9,3.9444444444444446,3505.1111111111113
PA,Philadelphia,19122,22690,8,-8.1875,2836.25
PA,Philadelphia,19123,15167,10,10.15,1516.7
PA,Philadelphia,19124,68905,12,2.1666666666666665,5742.083333333333
PA,Philadelphia,19125,24149,4,1.625,6037.25
PA,Philadelphia,19126,15982,2,-1.25,7991
PA,Philadelphia,19127,6038,2,18,3019
PA,Philadelphia,19128,37550,13,5.384615384615385,2888.4615384615386
PA,Philadelphia,19129,11058,4,7.625,2764.5
PA,Philadelphia,19130,26100,4,15.125,6525
PA,Philadelphia,19131,44915,14,8.214285714285714,3208.214285714286
PA,Philadelphia,19132,33368,6,-10.416666666666666,5561.333333333333
PA,Philadelphia,19133,27397,4,-4,6849.25
PA,Philadelphia,19134,62861,17,1.8235294117647058,3697.705882352941
PA,Philadelphia,19135,33602,5,2.9,6720.4
PA,Philadelphia,19136,32912,8,-0.125,4114
PA,Philadelphia,19137,7937,4,0.625,1984.25
PA,Philadelphia,19138,34614,4,2.125,8653.5
PA,Philadelphia,19139,44675,6,-2.8333333333333335,7445.833333333333
PA,Philadelphia,19140,49300,10,-4.2,4930
PA,Philadelphia,19141,33791,5,-1.2,6758.2
PA,Philadelphia,19142,28238,2,-3.25,14119
PA,Philadelphia,19143,65812,6,-3,10968.666666666666
PA,Philadelphia,19144,41209,8,-0.875,5151.125
PA,Philadelphia,19145,46311,12,-0.25,3859.25
PA,Philadelphia,19146,38486,10,7.4,3848.6
PA,Philadelphia,19147,39114,12,13,3259.5
PA,Philadelphia,19148,53440,25,15.88,2137.6
PA,Philadelphia,19149,59853,11,-0.6818181818181818,5441.181818181818
PA,Philadelphia,19150,24048,7,10.142857142857142,3435.4285714285716
PA,Philadelphia,19151,35102,10,-5.15,3510.2
PA,Philadelphia,19152,35626,7,0.5714285714285714,5089.428571428572
PA,Philadelphia,19153,13613,16,9.5,850.8125
PA,Philadelphia,19154,33512,13,2.423076923076923,2577.846153846154
PA,Philadelphia,19155,NA,0,NA,Inf
PA,Philadelphia,19160,NA,0,NA,Inf
PA,Philadelphia,19161,NA,0,NA,Inf
PA,Philadelphia,19162,NA,0,NA,Inf
PA,Philadelphia,19170,NA,0,NA,Inf
PA,Philadelphia,19171,NA,0,NA,Inf
PA,Philadelphia,19172,NA,0,NA,Inf
PA,Philadelphia,19173,NA,0,NA,Inf
PA,Philadelphia,19175,NA,0,NA,Inf
PA,Philadelphia,19177,NA,0,NA,Inf
PA,Philadelphia,19178,NA,0,NA,Inf
PA,Philadelphia,19179,NA,0,NA,Inf
PA,Philadelphia,19181,NA,0,NA,Inf
PA,Philadelphia,19182,NA,0,NA,Inf
PA,Philadelphia,19183,NA,0,NA,Inf
PA,Philadelphia,19184,NA,0,NA,Inf
PA,Philadelphia,19185,NA,0,NA,Inf
PA,Philadelphia,19187,NA,0,NA,Inf
PA,Philadelphia,19188,NA,0,NA,Inf
PA,Philadelphia,19190,NA,0,NA,Inf
PA,Philadelphia,19191,NA,0,NA,Inf
PA,Philadelphia,19192,NA,0,NA,Inf
PA,Philadelphia,19193,NA,0,NA,Inf
PA,Philadelphia,19194,NA,0,NA,Inf
PA,Philadelphia,19195,NA,0,NA,Inf
PA,Philadelphia,19196,NA,0,NA,Inf
PA,Philadelphia,19197,NA,0,NA,Inf
PA,Philadelphia,19244,NA,0,NA,Inf
PA,Philadelphia,19255,NA,0,NA,Inf
PA,Philadelphia,19301,6594,4,14.5,1648.5
PA,Philadelphia,19310,3219,0,NA,Inf
PA,Philadelphia,19311,9504,2,-0.25,4752
